factor,view,base,family
tsz_mom_3,time-series zscore,mom_3,momentum
csz_maxret_3,cross-sectional zscore,maxret_3,other
maxret_16,raw,maxret_16,other
csz_tr_dir_6,cross-sectional zscore,tr_dir_6,other
tsz_drawdn_6,time-series zscore,drawdn_6,range
stoch_13,raw,stoch_13,oscillator
csr_dual_thrust_pos_13,cross-sectional rank,dual_thrust_pos_13,other
tsz_px_sma_8,time-series zscore,px_sma_8,trend
upratio_4,raw,upratio_4,other
csr_cmo_6,cross-sectional rank,cmo_6,oscillator
csr_drawdn_13,cross-sectional rank,drawdn_13,range
maxret_10,raw,maxret_10,other
csr_amt_prop_signed_55,cross-sectional rank,amt_prop_signed_55,other
csz_minret_3,cross-sectional zscore,minret_3,other
tsz_drawdn_8,time-series zscore,drawdn_8,range
csr_upratio_3,cross-sectional rank,upratio_3,other
mfi_4,raw,mfi_4,other
tsz_amt_prop_signed_34,time-series zscore,amt_prop_signed_34,other
tsz_minret_2,time-series zscore,minret_2,other
mom_34_lag3,raw,mom_34_lag3,momentum
upratio_5,raw,upratio_5,other
csz_sharpe_4,cross-sectional zscore,sharpe_4,momentum/risk-adj
rv_16,raw,rv_16,volatility
csr_body_pos_inter_4,cross-sectional rank,body_pos_inter_4,candle-geom
tr_dir_4,raw,tr_dir_4,other
minret_13,raw,minret_13,other
upratio_6,raw,upratio_6,other
tsz_volskew_4,time-series zscore,volskew_4,volatility
csz_roc_8,cross-sectional zscore,roc_8,momentum
mom_x_volz_13,raw,mom_x_volz_13,momentum
csr_bollz_16,cross-sectional rank,bollz_16,oscillator/mean-rev
tsz_maxret_2,time-series zscore,maxret_2,other
drawdn_72,raw,drawdn_72,range
csr_updn_vol_ratio_4,cross-sectional rank,updn_vol_ratio_4,other
tsz_drawup_6,time-series zscore,drawup_6,range
tsz_updn_vol_ratio_4,time-series zscore,updn_vol_ratio_4,other
csz_tr_dir_4,cross-sectional zscore,tr_dir_4,other
csz_drawup_13,cross-sectional zscore,drawup_13,range
rsi_8,raw,rsi_8,oscillator
tsz_roc_4,time-series zscore,roc_4,momentum
mfi_6,raw,mfi_6,other
minret_16,raw,minret_16,other
mom_x_volz_16,raw,mom_x_volz_16,momentum
px_sma_13,raw,px_sma_13,trend
tsz_body_pos_inter_4,time-series zscore,body_pos_inter_4,candle-geom
tsz_cmo_6,time-series zscore,cmo_6,oscillator
csr_upsh,cross-sectional rank,upsh,other
rsi_10,raw,rsi_10,oscillator
tsz_bollz_16,time-series zscore,bollz_16,oscillator/mean-rev
csz_mom_x_volz_13,cross-sectional zscore,mom_x_volz_13,momentum
cpos_8,raw,cpos_8,candle-geom
csz_drawdn_13,cross-sectional zscore,drawdn_13,range
upratio_8,raw,upratio_8,other
tsz_tr_dir_6,time-series zscore,tr_dir_6,other
drawdn_4,raw,drawdn_4,range
tsz_dual_thrust_pos_13,time-series zscore,dual_thrust_pos_13,other
csz_amt_flow_4,cross-sectional zscore,amt_flow_4,other
csz_volskew_6,cross-sectional zscore,volskew_6,volatility
mom_accel,raw,mom_accel,momentum
ema_diff_8_34,raw,ema_diff_8_34,trend
minret_21,raw,minret_21,other
tsz_mom_5,time-series zscore,mom_5,momentum
drawdn_6,raw,drawdn_6,range
tsz_mom_6,time-series zscore,mom_6,momentum
upratio_10,raw,upratio_10,other
rv_x_volz_8,raw,rv_x_volz_8,volatility
csr_updn_vol_ratio_6,cross-sectional rank,updn_vol_ratio_6,other
losh,raw,losh,other
body,raw,body,candle-geom
csr_drawup_13,cross-sectional rank,drawup_13,range
tsz_tr_dir_4,time-series zscore,tr_dir_4,other
csz_maxret_4,cross-sectional zscore,maxret_4,other
csr_body_pos_inter_6,cross-sectional rank,body_pos_inter_6,candle-geom
